Zone,Station,Distance,TrainName,TrainType,Direction,TimeString,Time
4,San Jose Diridon,47.5,101,Local,Northbound,4:28am,268
4,Santa Clara,44.7,101,Local,Northbound,4:33am,273
4,Lawrence,40.8,101,Local,Northbound,4:39am,279
3,Sunnyvale,38.8,101,Local,Northbound,4:43am,283
3,Mountain View,36.1,101,Local,Northbound,4:48am,288
3,San Antonio,34.1,101,Local,Northbound,4:52am,292
3,California Ave,31.8,101,Local,Northbound,4:57am,297
3,Palo Alto,30.1,101,Local,Northbound,5:01am,301
3,Menlo Park,28.9,101,Local,Northbound,5:04am,304
2,Redwood City,25.4,101,Local,Northbound,5:10am,310
2,San Carlos,23.2,101,Local,Northbound,5:15am,315
2,Belmont,21.9,101,Local,Northbound,5:18am,318
2,Hillsdale,20.3,101,Local,Northbound,5:22am,322
2,Hayward Park,19.1,101,Local,Northbound,5:25am,325
2,San Mateo,17.9,101,Local,Northbound,5:28am,328
2,Burlingame,16.3,101,Local,Northbound,5:32am,332
2,Millbrae,13.7,101,Local,Northbound,5:36am,336
1,San Bruno,11.6,101,Local,Northbound,5:41am,341
1,So. San Francisco,9.3,101,Local,Northbound,5:45am,345
1,Bayshore,5.2,101,Local,Northbound,5:51am,351
1,22nd Street,1.9,101,Local,Northbound,5:57am,357
1,San Francisco,0.2,101,Local,Northbound,6:03am,363
4,Tamien,49.1,103,Local,Northbound,4:55am,295
4,San Jose Diridon,47.5,103,Local,Northbound,5:03am,303
4,Santa Clara,44.7,103,Local,Northbound,5:08am,308
4,Lawrence,40.8,103,Local,Northbound,5:13am,313
3,Sunnyvale,38.8,103,Local,Northbound,5:18am,318
3,Mountain View,36.1,103,Local,Northbound,5:23am,323
3,San Antonio,34.1,103,Local,Northbound,5:27am,327
3,California Ave,31.8,103,Local,Northbound,5:31am,331
3,Palo Alto,30.1,103,Local,Northbound,5:36am,336
3,Menlo Park,28.9,103,Local,Northbound,5:39am,339
2,Redwood City,25.4,103,Local,Northbound,5:44am,344
2,San Carlos,23.2,103,Local,Northbound,5:49am,349
2,Belmont,21.9,103,Local,Northbound,5:52am,352
2,Hillsdale,20.3,103,Local,Northbound,5:56am,356
2,Hayward Park,19.1,103,Local,Northbound,5:59am,359
2,San Mateo,17.9,103,Local,Northbound,6:03am,363
2,Burlingame,16.3,103,Local,Northbound,6:06am,366
2,Millbrae,13.7,103,Local,Northbound,6:11am,371
1,San Bruno,11.6,103,Local,Northbound,6:16am,376
1,So. San Francisco,9.3,103,Local,Northbound,6:20am,380
1,Bayshore,5.2,103,Local,Northbound,6:26am,386
1,22nd Street,1.9,103,Local,Northbound,6:32am,392
1,San Francisco,0.2,103,Local,Northbound,6:38am,398
4,San Jose Diridon,47.5,305,Baby Bullet,Northbound,5:45am,345
3,Mountain View,36.1,305,Baby Bullet,Northbound,6:00am,360
3,Palo Alto,30.1,305,Baby Bullet,Northbound,6:08am,368
2,Hillsdale,20.3,305,Baby Bullet,Northbound,6:18am,378
2,Millbrae,13.7,305,Baby Bullet,Northbound,6:26am,386
1,San Francisco,0.2,305,Baby Bullet,Northbound,6:47am,407
4,Tamien,49.1,207,Limited-stop,Northbound,5:51am,351
4,San Jose Diridon,47.5,207,Limited-stop,Northbound,5:59am,359
4,Santa Clara,44.7,207,Limited-stop,Northbound,6:06am,366
4,Lawrence,40.8,207,Limited-stop,Northbound,6:12am,372
3,Sunnyvale,38.8,207,Limited-stop,Northbound,6:20am,380
3,Mountain View,36.1,207,Limited-stop,Northbound,6:25am,385
3,San Antonio,34.1,207,Limited-stop,Northbound,6:29am,389
3,California Ave,31.8,207,Limited-stop,Northbound,6:34am,394
3,Palo Alto,30.1,207,Limited-stop,Northbound,6:38am,398
3,Menlo Park,28.9,207,Limited-stop,Northbound,6:41am,401
2,Redwood City,25.4,207,Limited-stop,Northbound,6:47am,407
2,Hillsdale,20.3,207,Limited-stop,Northbound,6:54am,414
2,Millbrae,13.7,207,Limited-stop,Northbound,7:03am,423
1,So. San Francisco,9.3,207,Limited-stop,Northbound,7:09am,429
1,San Francisco,0.2,207,Limited-stop,Northbound,7:24am,444
4,Tamien,49.1,309,Baby Bullet,Northbound,5:56am,356
4,San Jose Diridon,47.5,309,Baby Bullet,Northbound,6:04am,364
3,Sunnyvale,38.8,309,Baby Bullet,Northbound,6:14am,374
3,Palo Alto,30.1,309,Baby Bullet,Northbound,6:26am,386
2,Redwood City,25.4,309,Baby Bullet,Northbound,6:32am,392
2,San Mateo,17.9,309,Baby Bullet,Northbound,6:43am,403
2,Millbrae,13.7,309,Baby Bullet,Northbound,6:51am,411
1,San Francisco,0.2,309,Baby Bullet,Northbound,7:08am,428
4,San Jose Diridon,47.5,211,Limited-stop,Northbound,6:23am,383
