Year,Origin,Count
1970,Japan,2
1970,USA,22
1970,Europe,5
1971,Japan,4
1971,USA,19
1971,Europe,4
1972,Japan,5
1972,USA,18
1972,Europe,5
1973,Japan,4
1973,USA,29
1973,Europe,7
1974,Japan,6
1974,USA,14
1974,Europe,6
1975,Japan,4
1975,USA,20
1975,Europe,6
1976,Japan,4
1976,USA,22
1976,Europe,8
1977,Japan,6
1977,USA,18
1977,Europe,4
1978,Japan,8
1978,USA,22
1978,Europe,6
1979,Japan,2
1979,USA,23
1979,Europe,4
1980,Japan,13
1980,USA,6
1980,Europe,8
1981,Japan,12
1981,USA,13
1981,Europe,3
1982,Japan,9
1982,USA,19
1982,Europe,2
