Year,Month,Station,Measure,RawValue,Value,LastYearRawValue,LastYearValue,Good,Moderate,Unhealthy
2015,Feb,Beijing,PM2.5,54.25,74,77.21,103,50,100,150
2015,Feb,Chengdu,PM2.5,56.44,77,57.34,78,50,100,150
2015,Feb,Guangzhou,PM2.5,46.24,64,38.6,54,50,100,150
2015,Feb,Hangzhou,PM2.5,46.83,65,38.94,55,50,100,150
2015,Feb,Nanjing,PM2.5,46.65,65,48.12,66,50,100,150
2015,Feb,Shanghai,PM2.5,42.42,59,38.6,54,50,100,150
2015,Feb,Suzhou,PM2.5,52.45,72,46.9,65,50,100,150
2015,Mar,Beijing,PM2.5,56.12,76,57.37,78,50,100,150
2015,Mar,Chengdu,PM2.5,55.47,76,51.59,71,50,100,150
2015,Mar,Guangzhou,PM2.5,34.14,49,44.63,62,50,100,150
2015,Mar,Hangzhou,PM2.5,51.64,71,44.76,62,50,100,150
2015,Mar,Nanjing,PM2.5,47.82,66,56.14,76,50,100,150
2015,Mar,Shanghai,PM2.5,42.29,59,44.04,61,50,100,150
2015,Mar,Suzhou,PM2.5,47.76,66,55.55,76,50,100,150
2015,Apr,Beijing,PM2.5,47.12,65,56.31,77,50,100,150
2015,Apr,Chengdu,PM2.5,63.1,85,48.92,67,50,100,150
2015,Apr,Guangzhou,PM2.5,38.33,54,42.48,59,50,100,150
2015,Apr,Hangzhou,PM2.5,55.78,76,54.94,75,50,100,150
2015,Apr,Nanjing,PM2.5,55.53,76,53.3,73,50,100,150
2015,Apr,Shanghai,PM2.5,47.69,66,43.23,60,50,100,150
2015,Apr,Suzhou,PM2.5,39.47,56,53.07,73,50,100,150
2015,May,Beijing,PM2.5,40.49,57,54.96,75,50,100,150
2015,May,Chengdu,PM2.5,52.1,71,60.12,81,50,100,150
2015,May,Guangzhou,PM2.5,25.39,36,40.36,57,50,100,150
2015,May,Hangzhou,PM2.5,46.55,64,60.2,81,50,100,150
2015,May,Nanjing,PM2.5,44,61,72.22,97,50,100,150
2015,May,Shanghai,PM2.5,34.69,50,52.41,72,50,100,150
2015,May,Suzhou,PM2.5,37.52,53,64.62,87,50,100,150
2015,Jun,Beijing,PM2.5,38.11,54,45.09,63,50,100,150
2015,Jun,Chengdu,PM2.5,35.89,51,53.88,74,50,100,150
2015,Jun,Guangzhou,PM2.5,19.88,28,37.67,53,50,100,150
2015,Jun,Hangzhou,PM2.5,32.01,46,59.93,81,50,100,150
2015,Jun,Nanjing,PM2.5,34.41,49,61.23,83,50,100,150
2015,Jun,Shanghai,PM2.5,33.17,47,41.99,59,50,100,150
2015,Jun,Suzhou,PM2.5,33.88,48,57.54,78,50,100,150
2015,Jul,Beijing,PM2.5,38.3,54,56.28,77,50,100,150
2015,Jul,Chengdu,PM2.5,39.52,56,46.56,64,50,100,150
2015,Jul,Guangzhou,PM2.5,23.99,34,41.45,58,50,100,150
2015,Jul,Hangzhou,PM2.5,28.29,40,46.29,64,50,100,150
2015,Jul,Nanjing,PM2.5,28.85,41,50.99,70,50,100,150
2015,Jul,Shanghai,PM2.5,30.31,43,32.01,46,50,100,150
2015,Jul,Suzhou,PM2.5,33.74,48,46.96,65,50,100,150
2015,Aug,Beijing,PM2.5,32.76,47,48.17,66,50,100,150
2015,Aug,Chengdu,PM2.5,37.76,53,44.17,61,50,100,150
2015,Aug,Guangzhou,PM2.5,30.45,44,36.97,52,50,100,150
2015,Aug,Hangzhou,PM2.5,32.06,46,50.73,70,50,100,150
2015,Aug,Nanjing,PM2.5,31.5,45,38.47,54,50,100,150
2015,Aug,Shanghai,PM2.5,30.36,43,35.51,51,50,100,150
2015,Aug,Suzhou,PM2.5,35.56,51,49.29,68,50,100,150
2015,Sep,Beijing,PM2.5,32.09,46,46.41,64,50,100,150
2015,Sep,Chengdu,PM2.5,31.53,45,39.96,56,50,100,150
2015,Sep,Guangzhou,PM2.5,31.76,45,40.89,57,50,100,150
2015,Sep,Hangzhou,PM2.5,38.14,54,49.27,68,50,100,150
2015,Sep,Nanjing,PM2.5,32.6,47,45.79,63,50,100,150
2015,Sep,Shanghai,PM2.5,27.93,40,35.59,51,50,100,150
2015,Sep,Suzhou,PM2.5,38.2,54,44.63,62,50,100,150
2015,Oct,Beijing,PM2.5,39.11,55,64.35,87,50,100,150
2015,Oct,Chengdu,PM2.5,43.4,61,50.06,69,50,100,150
2015,Oct,Guangzhou,PM2.5,34.76,50,50.1,69,50,100,150
2015,Oct,Hangzhou,PM2.5,41.21,58,57.15,78,50,100,150
2015,Oct,Nanjing,PM2.5,45.1,63,52.74,72,50,100,150
2015,Oct,Shanghai,PM2.5,35.52,51,41.13,58,50,100,150
2015,Oct,Suzhou,PM2.5,44.18,61,51.78,71,50,100,150
2015,Nov,Beijing,PM2.5,51.7,71,53.75,73,50,100,150
2015,Nov,Chengdu,PM2.5,35.76,51,46.92,65,50,100,150
2015,Nov,Guangzhou,PM2.5,32.1,46,43.54,61,50,100,150
2015,Nov,Hangzhou,PM2.5,37.42,53,55.27,75,50,100,150
2015,Nov,Nanjing,PM2.5,37.56,53,53.5,73,50,100,150
2015,Nov,Shanghai,PM2.5,36.61,52,41.67,58,50,100,150
2015,Nov,Suzhou,PM2.5,38.03,54,55.66,76,50,100,150
2015,Dec,Beijing,PM2.5,64.75,87,45.73,63,50,100,150
2015,Dec,Chengdu,PM2.5,48.34,67,55.98,76,50,100,150
2015,Dec,Guangzhou,PM2.5,28.54,41,43.5,61,50,100,150
2015,Dec,Hangzhou,PM2.5,49.29,68,52.84,72,50,100,150
2015,Dec,Nanjing,PM2.5,47.11,65,49.85,69,50,100,150
2015,Dec,Shanghai,PM2.5,42.06,59,48.75,67,50,100,150
2015,Dec,Suzhou,PM2.5,47.72,66,62.19,84,50,100,150
2016,Jan,Beijing,PM2.5,38.99,55,53.99,74,50,100,150
2016,Jan,Chengdu,PM2.5,45.91,64,68.18,91,50,100,150
2016,Jan,Guangzhou,PM2.5,28.51,41,54.42,74,50,100,150
2016,Jan,Hangzhou,PM2.5,45.28,63,59.34,80,50,100,150
2016,Jan,Nanjing,PM2.5,43.87,61,54.01,74,50,100,150
2016,Jan,Shanghai,PM2.5,40.59,57,50.53,69,50,100,150
2016,Jan,Suzhou,PM2.5,47.21,65,60.98,82,50,100,150
