source_id,target_id,Source,Target,Region,Amount
DZA,BEL,Algeria,Belgium,Middle East and North Africa,1040768.2
DZA,BRA,Algeria,Brazil,Middle East and North Africa,1559184.6
DZA,CAN,Algeria,Canada,Middle East and North Africa,1306055.2
DZA,FRA,Algeria,France,Middle East and North Africa,3166818.9
DZA,DEU,Algeria,Germany,Middle East and North Africa,1192009.4
DZA,ITA,Algeria,Italy,Middle East and North Africa,4852450.6
DZA,NLD,Algeria,Netherlands,Middle East and North Africa,1077302.7
DZA,ESP,Algeria,Spain,Middle East and North Africa,4731520.9
DZA,TUR,Algeria,Turkey,Middle East and North Africa,1610586.9
DZA,USA,Algeria,United States,Middle East and North Africa,3358508.8
AGO,CHN,Angola,China,Sub-Saharan Africa,13927145.0
AGO,FRA,Angola,France,Sub-Saharan Africa,1025776.4
AGO,IND,Angola,India,Sub-Saharan Africa,1797159.6
AGO,ZAF,Angola,South Africa,Sub-Saharan Africa,1262325.8
AGO,USA,Angola,United States,Sub-Saharan Africa,2731731.6
AZE,ITA,Azerbaijan,Italy,Central and Northern Asia,2093127.3
ARG,DZA,Argentina,Algeria,South America,1280050.4
ARG,BRA,Argentina,Brazil,South America,2656478.3
ARG,CHN,Argentina,China,South America,4082949.2
ARG,IDN,Argentina,Indonesia,South America,1293835.3
ARG,MYS,Argentina,Malaysia,South America,1056759.9
ARG,IND,Argentina,India,South America,2393373.6
ARG,VNM,Argentina,Vietnam,South America,2525641.4
ARG,ESP,Argentina,Spain,South America,1404446.3
ARG,CHE,Argentina,Switzerland,South America,1092937.4
ARG,EGY,Argentina,Egypt,South America,1521861.9
ARG,USA,Argentina,United States,South America,1082678.7
AUS,CHN,Australia,China,Oceania,64468746.3
AUS,HKG,Australia,"China, Hong Kong SAR",Oceania,4659599.8
AUS,IDN,Australia,Indonesia,Oceania,2574161.7
AUS,JPN,Australia,Japan,Oceania,27948606.7
AUS,KOR,Australia,"Korea, Rep.",Oceania,14105629.1
AUS,MYS,Australia,Malaysia,Oceania,2531693.4
AUS,IND,Australia,India,Oceania,8918659.9
AUS,SGP,Australia,Singapore,Oceania,1258574.5
AUS,VNM,Australia,Vietnam,Oceania,1519767.5
AUS,THA,Australia,Thailand,Oceania,1128769.8
AUS,USA,Australia,United States,Oceania,2603352.9
AUT,DEU,Austria,Germany,Europe,5563873.9
AUT,ITA,Austria,Italy,Europe,1212459.2
BHR,JPN,Bahrain,Japan,Middle East and North Africa,1032892.8
