Year,State,MapX,MapY,Polio Cases
* type:string,*,"* order: A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10","* order: B00,B01,B02,B03,B04,B05,B06,B07",*
1950,Alabama,A06,B01,9.13
1950,Alaska,A00,B07,45.17
1950,Arizona,A01,B02,22.59
1950,Arkansas,A04,B02,17.49
1950,California,A00,B03,19.58
1950,Colorado,A02,B03,15.98
1950,Connecticut,A09,B04,24.01
1950,Delaware,A09,B03,13.36
1950,District Of Columbia,A08,B02,22.81
1950,Florida,A08,B00,16.49
1950,Georgia,A07,B01,14.24
1950,Hawaii,A00,B00,4.00
1950,Idaho,A01,B05,27.00
1950,Illinois,A05,B05,21.88
1950,Indiana,A05,B04,15.08
1950,Iowa,A04,B04,48.83
1950,Kansas,A03,B02,27.26
1950,Kentucky,A05,B03,23.58
1950,Louisiana,A04,B01,14.91
1950,Maine,A10,B07,10.62
1950,Maryland,A08,B03,30.27
1950,Massachusetts,A09,B05,10.87
1950,Michigan,A06,B05,31.45
1950,Minnesota,A04,B05,19.69
1950,Mississippi,A05,B01,18.29
1950,Missouri,A04,B03,10.51
1950,Montana,A02,B05,7.81
1950,Nebraska,A03,B03,33.05
1950,Nevada,A01,B04,7.41
1950,New Hampshire,A10,B06,4.35
1950,New Jersey,A08,B04,18.16
1950,New Mexico,A02,B02,20.42
1950,New York,A08,B05,28.45
1950,North Carolina,A06,B02,18.45
1950,North Dakota,A03,B05,6.27
1950,Ohio,A06,B04,22.65
1950,Oklahoma,A03,B01,23.52
1950,Oregon,A00,B04,33.64
1950,Pennsylvania,A07,B04,12.72
1950,Rhode Island,A10,B04,6.63
1950,South Carolina,A07,B02,20.54
1950,South Dakota,A03,B04,28.10
1950,Tennessee,A05,B02,16.95
1950,Texas,A03,B00,35.33
1950,Utah,A01,B03,11.60
1950,Vermont,A09,B06,8.68
1950,Virginia,A07,B03,36.68
1950,Washington,A00,B05,26.56
1950,West Virginia,A06,B03,18.79
1950,Wisconsin,A05,B06,27.72
1950,Wyoming,A02,B04,15.44
1951,Alabama,A06,B01,22.15
1951,Alaska,A00,B07,20.24
1951,Arizona,A01,B02,37.14
1951,Arkansas,A04,B02,23.32
1951,California,A00,B03,28.52
1951,Colorado,A02,B03,81.21
1951,Connecticut,A09,B04,14.52
1951,Delaware,A09,B03,4.22
1951,District Of Columbia,A08,B02,8.12
1951,Florida,A08,B00,11.52
1951,Georgia,A07,B01,18.58
1951,Hawaii,A00,B00,5.39
1951,Idaho,A01,B05,21.42
1951,Illinois,A05,B05,19.22
1951,Indiana,A05,B04,8.86
1951,Iowa,A04,B04,16.91
1951,Kansas,A03,B02,40.38
1951,Kentucky,A05,B03,10.80
1951,Louisiana,A04,B01,29.42
1951,Maine,A10,B07,5.50
1951,Maryland,A08,B03,5.94
1951,Massachusetts,A09,B05,6.30
1951,Michigan,A06,B05,22.79
1951,Minnesota,A04,B05,19.22
1951,Mississippi,A05,B01,31.94
1951,Missouri,A04,B03,17.43
1951,Montana,A02,B05,22.53
1951,Nebraska,A03,B03,33.01
1951,Nevada,A01,B04,23.84
1951,New Hampshire,A10,B06,7.02
1951,New Jersey,A08,B04,8.96
1951,New Mexico,A02,B02,19.72
1951,New York,A08,B05,11.65
1951,North Carolina,A06,B02,7.77
1951,North Dakota,A03,B05,15.58
1951,Ohio,A06,B04,14.03
1951,Oklahoma,A03,B01,29.86
1951,Oregon,A00,B04,23.25
1951,Pennsylvania,A07,B04,7.45
1951,Rhode Island,A10,B04,1.93
1951,South Carolina,A07,B02,5.79
1951,South Dakota,A03,B04,19.66
1951,Tennessee,A05,B02,21.01
1951,Texas,A03,B00,23.71
1951,Utah,A01,B03,80.99
1951,Vermont,A09,B06,7.64
1951,Virginia,A07,B03,7.06
1951,Washington,A00,B05,17.63
1951,West Virginia,A06,B03,13.97
1951,Wisconsin,A05,B06,39.85
1951,Wyoming,A02,B04,70.03
1952,Alabama,A06,B01,13.56
1952,Alaska,A00,B07,0.00
1952,Arizona,A01,B02,42.07
1952,Arkansas,A04,B02,22.46
1952,California,A00,B03,31.93
1952,Colorado,A02,B03,57.59
1952,Connecticut,A09,B04,17.52
1952,Delaware,A09,B03,29.75
1952,District Of Columbia,A08,B02,14.36
1952,Florida,A08,B00,18.05
1952,Georgia,A07,B01,16.07
1952,Hawaii,A00,B00,0.00
1952,Idaho,A01,B05,52.47
1952,Illinois,A05,B05,37.15
1952,Indiana,A05,B04,27.48
1952,Iowa,A04,B04,102.87
1952,Kansas,A03,B02,69.04
1952,Kentucky,A05,B03,45.84
1952,Louisiana,A04,B01,31.55
1952,Maine,A10,B07,16.30
1952,Maryland,A08,B03,7.80
1952,Massachusetts,A09,B05,10.49
1952,Michigan,A06,B05,46.80
1952,Minnesota,A04,B05,101.96
1952,Mississippi,A05,B01,36.12
1952,Missouri,A04,B03,25.42
1952,Montana,A02,B05,38.06
1952,Nebraska,A03,B03,129.52
1952,Nevada,A01,B04,52.72
1952,New Hampshire,A10,B06,9.64
1952,New Jersey,A08,B04,12.75
1952,New Mexico,A02,B02,56.43
1952,New York,A08,B05,15.51
1952,North Carolina,A06,B02,25.62
1952,North Dakota,A03,B05,42.16
1952,Ohio,A06,B04,36.79
1952,Oklahoma,A03,B01,42.87
1952,Oregon,A00,B04,29.00
1952,Pennsylvania,A07,B04,12.46
1952,Rhode Island,A10,B04,11.71
1952,South Carolina,A07,B02,7.17
1952,South Dakota,A03,B04,100.08
1952,Tennessee,A05,B02,19.80
1952,Texas,A03,B00,42.01
1952,Utah,A01,B03,62.44
1952,Vermont,A09,B06,14.15
1952,Virginia,A07,B03,16.57
1952,Washington,A00,B05,40.54
1952,West Virginia,A06,B03,30.93
1952,Wisconsin,A05,B06,54.80
1952,Wyoming,A02,B04,55.62
1953,Alabama,A06,B01,14.93
1953,Alaska,A00,B07,0.00
1953,Arizona,A01,B02,43.02
1953,Arkansas,A04,B02,18.11
1953,California,A00,B03,32.32
1953,Colorado,A02,B03,13.61
1953,Connecticut,A09,B04,16.77
1953,Delaware,A09,B03,9.06
1953,District Of Columbia,A08,B02,7.98
1953,Florida,A08,B00,20.45
1953,Georgia,A07,B01,12.96
1953,Hawaii,A00,B00,0.00
1953,Idaho,A01,B05,15.97
1953,Illinois,A05,B05,22.29
1953,Indiana,A05,B04,15.28
1953,Iowa,A04,B04,23.02
1953,Kansas,A03,B02,25.64
1953,Kentucky,A05,B03,12.93
1953,Louisiana,A04,B01,14.99
1953,Maine,A10,B07,35.07
1953,Maryland,A08,B03,21.17
1953,Massachusetts,A09,B05,13.07
1953,Michigan,A06,B05,33.86
1953,Minnesota,A04,B05,73.17
1953,Mississippi,A05,B01,16.38
1953,Missouri,A04,B03,21.91
1953,Montana,A02,B05,40.39
1953,Nebraska,A03,B03,17.77
1953,Nevada,A01,B04,29.23
1953,New Hampshire,A10,B06,21.03
1953,New Jersey,A08,B04,14.53
1953,New Mexico,A02,B02,14.24
1953,New York,A08,B05,20.24
1953,North Carolina,A06,B02,22.60
1953,North Dakota,A03,B05,32.48
1953,Ohio,A06,B04,30.32
1953,Oklahoma,A03,B01,25.40
1953,Oregon,A00,B04,21.06
1953,Pennsylvania,A07,B04,12.07
1953,Rhode Island,A10,B04,35.36
1953,South Carolina,A07,B02,7.89
1953,South Dakota,A03,B04,34.42
1953,Tennessee,A05,B02,18.17
1953,Texas,A03,B00,20.37
1953,Utah,A01,B03,30.10
1953,Vermont,A09,B06,30.84
1953,Virginia,A07,B03,21.02
1953,Washington,A00,B05,16.92
1953,West Virginia,A06,B03,26.72
1953,Wisconsin,A05,B06,21.57
1953,Wyoming,A02,B04,25.80
1954,Alabama,A06,B01,12.47
1954,Alaska,A00,B07,154.98
1954,Arizona,A01,B02,23.90
1954,Arkansas,A04,B02,21.40
1954,California,A00,B03,36.56
1954,Colorado,A02,B03,26.61
1954,Connecticut,A09,B04,19.90
1954,Delaware,A09,B03,24.19
1954,District Of Columbia,A08,B02,11.16
1954,Florida,A08,B00,50.92
1954,Georgia,A07,B01,20.95
1954,Hawaii,A00,B00,46.33
1954,Idaho,A01,B05,20.71
1954,Illinois,A05,B05,23.86
1954,Indiana,A05,B04,20.31
1954,Iowa,A04,B04,55.25
1954,Kansas,A03,B02,34.30
1954,Kentucky,A05,B03,29.13
1954,Louisiana,A04,B01,18.69
1954,Maine,A10,B07,14.70
1954,Maryland,A08,B03,9.16
1954,Massachusetts,A09,B05,21.41
1954,Michigan,A06,B05,30.87
1954,Minnesota,A04,B05,22.10
1954,Mississippi,A05,B01,25.21
1954,Missouri,A04,B03,16.05
1954,Montana,A02,B05,28.64
1954,Nebraska,A03,B03,54.33
1954,Nevada,A01,B04,52.16
1954,New Hampshire,A10,B06,17.29
1954,New Jersey,A08,B04,16.96
1954,New Mexico,A02,B02,29.60
1954,New York,A08,B05,15.64
1954,North Carolina,A06,B02,17.86
1954,North Dakota,A03,B05,19.42
1954,Ohio,A06,B04,27.51
1954,Oklahoma,A03,B01,25.43
1954,Oregon,A00,B04,23.42
1954,Pennsylvania,A07,B04,13.33
1954,Rhode Island,A10,B04,14.96
1954,South Carolina,A07,B02,14.82
1954,South Dakota,A03,B04,21.68
1954,Tennessee,A05,B02,17.90
1954,Texas,A03,B00,36.79
1954,Utah,A01,B03,36.78
1954,Vermont,A09,B06,21.01
1954,Virginia,A07,B03,17.00
1954,Washington,A00,B05,17.85
1954,West Virginia,A06,B03,20.27
1954,Wisconsin,A05,B06,18.94
1954,Wyoming,A02,B04,93.16
1955,Alabama,A06,B01,5.49
1955,Alaska,A00,B07,24.75
1955,Arizona,A01,B02,12.95
1955,Arkansas,A04,B02,10.13
1955,California,A00,B03,15.43
1955,Colorado,A02,B03,13.98
1955,Connecticut,A09,B04,25.53
1955,Delaware,A09,B03,14.16
1955,District Of Columbia,A08,B02,6.00
1955,Florida,A08,B00,12.05
1955,Georgia,A07,B01,7.15
1955,Hawaii,A00,B00,32.10
1955,Idaho,A01,B05,40.27
1955,Illinois,A05,B05,13.61
1955,Indiana,A05,B04,9.90
1955,Iowa,A04,B04,19.22
1955,Kansas,A03,B02,12.45
1955,Kentucky,A05,B03,13.97
1955,Louisiana,A04,B01,12.21
1955,Maine,A10,B07,20.04
1955,Maryland,A08,B03,9.40
1955,Massachusetts,A09,B05,72.64
1955,Michigan,A06,B05,14.64
1955,Minnesota,A04,B05,16.91
1955,Mississippi,A05,B01,8.74
1955,Missouri,A04,B03,6.37
1955,Montana,A02,B05,23.25
1955,Nebraska,A03,B03,19.88
1955,Nevada,A01,B04,35.86
1955,New Hampshire,A10,B06,35.38
1955,New Jersey,A08,B04,11.37
1955,New Mexico,A02,B02,15.66
1955,New York,A08,B05,15.95
1955,North Carolina,A06,B02,10.03
1955,North Dakota,A03,B05,10.39
1955,Ohio,A06,B04,12.84
1955,Oklahoma,A03,B01,12.64
1955,Oregon,A00,B04,24.98
1955,Pennsylvania,A07,B04,5.94
1955,Rhode Island,A10,B04,49.82
1955,South Carolina,A07,B02,13.13
1955,South Dakota,A03,B04,9.91
1955,Tennessee,A05,B02,6.75
1955,Texas,A03,B00,21.04
1955,Utah,A01,B03,10.54
1955,Vermont,A09,B06,29.09
1955,Virginia,A07,B03,8.49
1955,Washington,A00,B05,19.69
1955,West Virginia,A06,B03,9.19
1955,Wisconsin,A05,B06,58.72
1955,Wyoming,A02,B04,12.76
1956,Alabama,A06,B01,3.46
1956,Alaska,A00,B07,8.07
1956,Arizona,A01,B02,14.32
1956,Arkansas,A04,B02,13.34
1956,California,A00,B03,15.75
1956,Colorado,A02,B03,10.06
1956,Connecticut,A09,B04,5.53
1956,Delaware,A09,B03,6.92
1956,District Of Columbia,A08,B02,1.43
1956,Florida,A08,B00,9.09
1956,Georgia,A07,B01,5.32
1956,Hawaii,A00,B00,11.66
1956,Idaho,A01,B05,17.39
1956,Illinois,A05,B05,19.11
1956,Indiana,A05,B04,9.62
1956,Iowa,A04,B04,24.01
1956,Kansas,A03,B02,12.61
1956,Kentucky,A05,B03,6.84
1956,Louisiana,A04,B01,20.75
1956,Maine,A10,B07,2.27
1956,Maryland,A08,B03,3.98
1956,Massachusetts,A09,B05,2.24
1956,Michigan,A06,B05,9.72
1956,Minnesota,A04,B05,6.28
1956,Mississippi,A05,B01,15.18
1956,Missouri,A04,B03,10.08
1956,Montana,A02,B05,8.93
1956,Nebraska,A03,B03,13.92
1956,Nevada,A01,B04,14.00
1956,New Hampshire,A10,B06,1.24
1956,New Jersey,A08,B04,3.86
1956,New Mexico,A02,B02,10.39
1956,New York,A08,B05,4.94
1956,North Carolina,A06,B02,7.98
1956,North Dakota,A03,B05,6.69
1956,Ohio,A06,B04,6.83
1956,Oklahoma,A03,B01,9.77
1956,Oregon,A00,B04,10.51
1956,Pennsylvania,A07,B04,1.96
1956,Rhode Island,A10,B04,1.08
1956,South Carolina,A07,B02,5.05
1956,South Dakota,A03,B04,6.15
1956,Tennessee,A05,B02,4.61
1956,Texas,A03,B00,15.31
1956,Utah,A01,B03,27.57
1956,Vermont,A09,B06,8.55
1956,Virginia,A07,B03,6.39
1956,Washington,A00,B05,7.69
1956,West Virginia,A06,B03,5.97
1956,Wisconsin,A05,B06,14.80
1956,Wyoming,A02,B04,13.12
1957,Alabama,A06,B01,1.85
1957,Alaska,A00,B07,1.29
1957,Arizona,A01,B02,5.12
1957,Arkansas,A04,B02,4.94
1957,California,A00,B03,5.32
1957,Colorado,A02,B03,3.12
1957,Connecticut,A09,B04,1.66
1957,Delaware,A09,B03,2.57
1957,District Of Columbia,A08,B02,9.19
1957,Florida,A08,B00,3.54
1957,Georgia,A07,B01,2.26
1957,Hawaii,A00,B00,2.55
1957,Idaho,A01,B05,4.40
1957,Illinois,A05,B05,3.59
1957,Indiana,A05,B04,4.68
1957,Iowa,A04,B04,6.79
1957,Kansas,A03,B02,3.06
1957,Kentucky,A05,B03,3.71
1957,Louisiana,A04,B01,5.71
1957,Maine,A10,B07,0.98
1957,Maryland,A08,B03,1.39
1957,Massachusetts,A09,B05,0.50
1957,Michigan,A06,B05,6.77
1957,Minnesota,A04,B05,1.50
1957,Mississippi,A05,B01,5.23
1957,Missouri,A04,B03,3.03
1957,Montana,A02,B05,2.10
1957,Nebraska,A03,B03,5.44
1957,Nevada,A01,B04,1.52
1957,New Hampshire,A10,B06,1.03
1957,New Jersey,A08,B04,1.38
1957,New Mexico,A02,B02,6.06
1957,New York,A08,B05,1.35
1957,North Carolina,A06,B02,5.21
1957,North Dakota,A03,B05,1.79
1957,Ohio,A06,B04,3.22
1957,Oklahoma,A03,B01,5.43
1957,Oregon,A00,B04,3.10
1957,Pennsylvania,A07,B04,0.49
1957,Rhode Island,A10,B04,0.00
1957,South Carolina,A07,B02,5.78
1957,South Dakota,A03,B04,12.15
1957,Tennessee,A05,B02,6.25
1957,Texas,A03,B00,7.84
1957,Utah,A01,B03,3.96
1957,Vermont,A09,B06,1.35
1957,Virginia,A07,B03,2.94
1957,Washington,A00,B05,1.06
1957,West Virginia,A06,B03,2.72
1957,Wisconsin,A05,B06,5.66
1957,Wyoming,A02,B04,4.16
1958,Alabama,A06,B01,1.92
1958,Alaska,A00,B07,0.90
1958,Arizona,A01,B02,2.80
1958,Arkansas,A04,B02,2.42
1958,California,A00,B03,2.05
1958,Colorado,A02,B03,1.32
1958,Connecticut,A09,B04,1.77
1958,Delaware,A09,B03,6.44
1958,District Of Columbia,A08,B02,1.32
1958,Florida,A08,B00,5.56
1958,Georgia,A07,B01,1.41
1958,Hawaii,A00,B00,12.62
1958,Idaho,A01,B05,1.83
1958,Illinois,A05,B05,2.40
1958,Indiana,A05,B04,3.39
1958,Iowa,A04,B04,2.91
1958,Kansas,A03,B02,1.37
1958,Kentucky,A05,B03,2.89
1958,Louisiana,A04,B01,2.40
1958,Maine,A10,B07,0.21
